epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.104,1.78771,2.48343,1.41644,0.51434,0.42936,0.42774,0.24524,1.57375,1.53507,1.25719,0.00332428,0.00332428,0.0700815
2,492.296,1.67708,1.77621,1.31749,0.46244,0.37563,0.38073,0.21847,1.66901,1.63327,1.28205,0.0065917,0.0065917,0.0400156
3,731.415,1.80896,1.97525,1.38283,0.41326,0.27582,0.24992,0.13029,1.92825,2.17224,1.42462,0.00979312,0.00979312,0.0098837
4,966.179,1.93147,2.2018,1.45746,0.37016,0.28083,0.23445,0.1173,1.99013,2.15998,1.48077,0.009703,0.009703,0.009703
5,1201,1.93829,2.15252,1.44791,0.40122,0.26763,0.24863,0.12805,1.95796,2.12388,1.48286,0.009604,0.009604,0.009604
6,1434.98,1.90414,2.09886,1.43065,0.42129,0.29682,0.27054,0.14319,1.89033,1.97503,1.45682,0.009505,0.009505,0.009505
7,1669.29,1.87819,2.02803,1.41462,0.41666,0.33064,0.30948,0.16255,1.87019,1.94247,1.45499,0.009406,0.009406,0.009406
8,1903.34,1.85788,1.98691,1.40698,0.45253,0.31423,0.30626,0.15949,1.85863,1.99228,1.44441,0.009307,0.009307,0.009307
9,2137.42,1.84104,1.9471,1.38662,0.46891,0.33053,0.33941,0.18555,1.79323,1.84199,1.38476,0.009208,0.009208,0.009208
10,2371.43,1.80234,1.87001,1.36418,0.44483,0.35565,0.35342,0.1916,1.76899,1.80321,1.36851,0.009109,0.009109,0.009109
11,2605.33,1.78398,1.83731,1.35843,0.50057,0.35596,0.3702,0.20246,1.75876,1.71546,1.3591,0.00901,0.00901,0.00901
12,2839.47,1.76245,1.82392,1.35791,0.52838,0.35861,0.37415,0.20833,1.73777,1.69101,1.36433,0.008911,0.008911,0.008911
13,3073.17,1.74459,1.7947,1.33903,0.55602,0.34899,0.38518,0.21337,1.72837,1.66283,1.34449,0.008812,0.008812,0.008812
14,3307.28,1.73088,1.76752,1.33635,0.52655,0.39897,0.40875,0.22822,1.69788,1.60054,1.35224,0.008713,0.008713,0.008713
15,3541.41,1.7216,1.72624,1.32293,0.52799,0.40603,0.4092,0.2248,1.69929,1.60165,1.31765,0.008614,0.008614,0.008614
16,3775.6,1.69869,1.69498,1.31783,0.51888,0.41551,0.42744,0.24484,1.67531,1.49933,1.31311,0.008515,0.008515,0.008515
17,4009.6,1.69639,1.69489,1.30759,0.56969,0.41121,0.43947,0.24536,1.70377,1.52706,1.34018,0.008416,0.008416,0.008416
18,4244.1,1.67477,1.66878,1.30515,0.58284,0.41922,0.44503,0.25103,1.65672,1.50062,1.31263,0.008317,0.008317,0.008317
19,4478.67,1.67199,1.64102,1.29663,0.58514,0.42551,0.46046,0.25956,1.65657,1.44726,1.31283,0.008218,0.008218,0.008218
20,4713.31,1.65099,1.62016,1.28899,0.58799,0.44102,0.46334,0.26496,1.6205,1.42704,1.29797,0.008119,0.008119,0.008119
21,4947.67,1.65495,1.60691,1.28812,0.57804,0.42357,0.45604,0.26108,1.63154,1.45005,1.27754,0.00802,0.00802,0.00802
22,5181.97,1.64371,1.58178,1.2784,0.56139,0.43852,0.45407,0.25647,1.64405,1.43007,1.28419,0.007921,0.007921,0.007921
23,5415.9,1.63145,1.55702,1.27472,0.58447,0.42492,0.45818,0.2559,1.65112,1.45694,1.29067,0.007822,0.007822,0.007822
24,5649.9,1.62555,1.53911,1.26681,0.59227,0.43561,0.46938,0.27081,1.59765,1.41643,1.26275,0.007723,0.007723,0.007723
25,5884.37,1.61185,1.52841,1.26798,0.61525,0.43787,0.47279,0.26932,1.60608,1.40375,1.28063,0.007624,0.007624,0.007624
26,6118.37,1.61082,1.51946,1.26273,0.60381,0.43914,0.47581,0.27216,1.62064,1.40317,1.2761,0.007525,0.007525,0.007525
27,6352.58,1.59488,1.5063,1.25572,0.63111,0.41567,0.48572,0.28004,1.57904,1.34832,1.25357,0.007426,0.007426,0.007426
28,6586.88,1.58774,1.4936,1.25692,0.59114,0.44609,0.47645,0.26886,1.58884,1.36901,1.259,0.007327,0.007327,0.007327
29,6820.72,1.57941,1.47888,1.24684,0.60811,0.46069,0.49525,0.28674,1.59958,1.32993,1.26278,0.007228,0.007228,0.007228
30,7054.9,1.55563,1.44484,1.23922,0.61183,0.45999,0.48726,0.27837,1.59288,1.34044,1.25421,0.007129,0.007129,0.007129
31,7288.41,1.57396,1.46802,1.24851,0.59092,0.47263,0.4979,0.28861,1.56742,1.32192,1.2376,0.00703,0.00703,0.00703
32,7522.53,1.5609,1.44442,1.23938,0.59197,0.46475,0.49871,0.28855,1.57078,1.30741,1.24414,0.006931,0.006931,0.006931
33,7756.39,1.56621,1.43361,1.23625,0.62506,0.45906,0.50714,0.29453,1.56487,1.3012,1.24594,0.006832,0.006832,0.006832
34,7990.43,1.55233,1.41936,1.23706,0.60962,0.4614,0.50483,0.29819,1.55306,1.29655,1.23166,0.006733,0.006733,0.006733
35,8224.49,1.53705,1.39701,1.22254,0.64006,0.46251,0.51453,0.30436,1.54684,1.28168,1.23478,0.006634,0.006634,0.006634
36,8458.67,1.53898,1.40581,1.22524,0.60911,0.48107,0.50435,0.28651,1.58534,1.29188,1.25198,0.006535,0.006535,0.006535
37,8692.4,1.52026,1.37755,1.21858,0.63649,0.46699,0.5102,0.29851,1.57096,1.30024,1.24657,0.006436,0.006436,0.006436
38,8926.21,1.54071,1.37843,1.22445,0.60548,0.47464,0.50427,0.29346,1.54757,1.28696,1.23879,0.006337,0.006337,0.006337
39,9160.05,1.52143,1.36701,1.21675,0.64046,0.47825,0.5267,0.3114,1.55949,1.26966,1.23777,0.006238,0.006238,0.006238
40,9394.31,1.51341,1.33916,1.21367,0.60356,0.47106,0.50737,0.30166,1.54047,1.26636,1.2267,0.006139,0.006139,0.006139
