epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,581.378,1.54871,2.08514,1.3674,0.69184,0.53628,0.59484,0.37363,1.36297,1.28356,1.23129,0.00332428,0.00332428,0.0700815
2,1156.43,1.47327,1.54656,1.31298,0.68091,0.46751,0.5392,0.32134,1.46345,1.43633,1.30266,0.0065917,0.0065917,0.0400156
3,1725.99,1.57548,1.72328,1.36102,0.53654,0.38258,0.40504,0.2261,1.65185,1.76608,1.39528,0.00979312,0.00979312,0.0098837
4,2294.39,1.69043,1.96283,1.43741,0.52004,0.39683,0.40481,0.22007,1.71063,1.84056,1.45667,0.009703,0.009703,0.009703
5,2862.12,1.70241,1.93195,1.44331,0.55223,0.41906,0.43081,0.24561,1.66661,1.77632,1.42122,0.009604,0.009604,0.009604
6,3429.09,1.67877,1.87121,1.43087,0.51867,0.42453,0.41964,0.24325,1.65278,1.71794,1.38683,0.009505,0.009505,0.009505
7,3997.75,1.65245,1.81149,1.41255,0.53665,0.47082,0.48773,0.28306,1.5845,1.5866,1.39315,0.009406,0.009406,0.009406
8,4578.32,1.62466,1.75575,1.40103,0.58394,0.43556,0.47244,0.28119,1.58057,1.59618,1.36731,0.009307,0.009307,0.009307
9,5183.03,1.61686,1.72759,1.38863,0.59173,0.47996,0.50302,0.29368,1.56841,1.54065,1.36336,0.009208,0.009208,0.009208
10,5794.03,1.57783,1.65324,1.36579,0.58835,0.4775,0.50632,0.29574,1.5492,1.49225,1.34262,0.009109,0.009109,0.009109
11,6402.67,1.56985,1.6206,1.36319,0.64077,0.48557,0.53896,0.31774,1.51643,1.42141,1.32613,0.00901,0.00901,0.00901
12,7014.39,1.54756,1.5979,1.35298,0.58098,0.49735,0.52277,0.30722,1.54372,1.45971,1.35265,0.008911,0.008911,0.008911
13,7629.5,1.54189,1.56278,1.34651,0.57684,0.4976,0.5266,0.31728,1.54675,1.48096,1.34894,0.008812,0.008812,0.008812
14,8242.79,1.53264,1.54905,1.34027,0.65484,0.50681,0.5556,0.33085,1.50422,1.399,1.32143,0.008713,0.008713,0.008713
15,8853.97,1.52836,1.52368,1.33516,0.65399,0.50463,0.54982,0.33716,1.45243,1.3755,1.27041,0.008614,0.008614,0.008614
16,9470.75,1.50313,1.48194,1.32485,0.66227,0.51883,0.56528,0.34538,1.47186,1.35202,1.29361,0.008515,0.008515,0.008515
17,10087.1,1.49658,1.48514,1.31108,0.66087,0.5298,0.57105,0.35317,1.46685,1.3226,1.29776,0.008416,0.008416,0.008416
18,10703.2,1.4843,1.46148,1.31118,0.65154,0.50947,0.55683,0.33216,1.46756,1.35149,1.29953,0.008317,0.008317,0.008317
19,11318.5,1.47313,1.42831,1.30595,0.68255,0.54607,0.59047,0.35473,1.46037,1.30069,1.29612,0.008218,0.008218,0.008218
20,11934.1,1.4557,1.39414,1.29044,0.66364,0.54346,0.59666,0.37047,1.42724,1.24842,1.27275,0.008119,0.008119,0.008119
21,12549.8,1.45615,1.39059,1.29056,0.68644,0.54215,0.60226,0.37018,1.42434,1.2472,1.2702,0.00802,0.00802,0.00802
22,13165.3,1.4457,1.38032,1.28544,0.68068,0.55772,0.60704,0.37075,1.43657,1.25539,1.26649,0.007921,0.007921,0.007921
23,13780,1.42895,1.33623,1.27314,0.68821,0.5571,0.61978,0.37539,1.43983,1.20701,1.2665,0.007822,0.007822,0.007822
24,14394.4,1.42379,1.32213,1.26611,0.6999,0.55525,0.61703,0.37711,1.438,1.21952,1.27389,0.007723,0.007723,0.007723
25,15009.4,1.41781,1.3074,1.26744,0.7112,0.52996,0.60442,0.36749,1.45658,1.239,1.28316,0.007624,0.007624,0.007624
26,15624.3,1.41413,1.29767,1.26402,0.72424,0.54946,0.61746,0.38172,1.43185,1.21862,1.27107,0.007525,0.007525,0.007525
27,16237.6,1.40649,1.29313,1.25574,0.69987,0.58784,0.6333,0.39064,1.40469,1.17086,1.24966,0.007426,0.007426,0.007426
28,16851.1,1.3952,1.26721,1.25275,0.66808,0.55457,0.59636,0.37094,1.43523,1.23285,1.2686,0.007327,0.007327,0.007327
29,17463.3,1.38544,1.25667,1.24529,0.69523,0.56158,0.61806,0.38312,1.42193,1.20151,1.26481,0.007228,0.007228,0.007228
30,18074.7,1.37807,1.23762,1.24578,0.74828,0.56196,0.63425,0.3967,1.41917,1.15772,1.25836,0.007129,0.007129,0.007129
31,18688.1,1.3853,1.24818,1.24883,0.71114,0.58938,0.63955,0.39942,1.39653,1.17016,1.24309,0.00703,0.00703,0.00703
32,19303.2,1.36916,1.22181,1.2388,0.71774,0.5635,0.63718,0.38968,1.41819,1.15327,1.25849,0.006931,0.006931,0.006931
33,19915.2,1.37351,1.209,1.235,0.70917,0.59633,0.6456,0.40456,1.39878,1.13941,1.24296,0.006832,0.006832,0.006832
34,20527.3,1.36332,1.19621,1.23216,0.70005,0.58111,0.63983,0.40245,1.41161,1.16801,1.24866,0.006733,0.006733,0.006733
35,21139.4,1.3518,1.17757,1.21913,0.71675,0.58407,0.63911,0.40021,1.4007,1.13618,1.24545,0.006634,0.006634,0.006634
36,21751.5,1.3499,1.18346,1.22312,0.70756,0.60005,0.64879,0.40688,1.3956,1.14083,1.24636,0.006535,0.006535,0.006535
37,22364.8,1.33408,1.15965,1.21281,0.74535,0.58464,0.65484,0.4102,1.39048,1.09993,1.23299,0.006436,0.006436,0.006436
38,22978.8,1.34208,1.15971,1.21845,0.7467,0.57605,0.6561,0.40621,1.3933,1.11005,1.2364,0.006337,0.006337,0.006337
39,23589.9,1.3241,1.15212,1.20706,0.74614,0.58158,0.65917,0.41369,1.40022,1.10056,1.24063,0.006238,0.006238,0.006238
40,24201.7,1.31357,1.11905,1.20618,0.71285,0.5974,0.65657,0.4126,1.3712,1.09757,1.22126,0.006139,0.006139,0.006139
41,24812.8,1.31768,1.12816,1.19713,0.74873,0.59176,0.65965,0.41514,1.38517,1.09113,1.2404,0.00604,0.00604,0.00604
42,25425.1,1.31258,1.1207,1.20087,0.73067,0.58269,0.65961,0.41516,1.38088,1.10897,1.22167,0.005941,0.005941,0.005941
43,26037.2,1.30817,1.11104,1.19287,0.72425,0.59326,0.66246,0.41682,1.38514,1.08559,1.23412,0.005842,0.005842,0.005842
44,26650.4,1.29027,1.08651,1.19413,0.75388,0.59099,0.6767,0.42779,1.39123,1.07778,1.2425,0.005743,0.005743,0.005743
45,27262,1.29506,1.09148,1.19042,0.73851,0.60739,0.67021,0.42325,1.37361,1.06177,1.23281,0.005644,0.005644,0.005644
46,27873.1,1.2808,1.06843,1.18383,0.7718,0.58529,0.66554,0.41614,1.3924,1.07102,1.24412,0.005545,0.005545,0.005545
47,28486.2,1.28091,1.0676,1.18075,0.7561,0.5887,0.67336,0.42379,1.38449,1.06307,1.23485,0.005446,0.005446,0.005446
48,29099.6,1.28175,1.04623,1.18053,0.72241,0.61481,0.66424,0.42041,1.38473,1.09601,1.24035,0.005347,0.005347,0.005347
49,29714.5,1.26956,1.04264,1.17176,0.75469,0.61189,0.68258,0.43037,1.37312,1.05954,1.22408,0.005248,0.005248,0.005248
50,30332.7,1.25766,1.03974,1.17176,0.76997,0.60311,0.68335,0.43136,1.38799,1.06048,1.23589,0.005149,0.005149,0.005149
51,30949.5,1.25829,1.03008,1.16521,0.73929,0.61353,0.6703,0.41639,1.39571,1.06088,1.24288,0.00505,0.00505,0.00505
52,31566,1.25985,1.02295,1.1617,0.77017,0.59631,0.67637,0.42811,1.36335,1.05167,1.22017,0.004951,0.004951,0.004951
53,32182,1.24117,1.00737,1.16317,0.77389,0.5865,0.67307,0.4259,1.39155,1.07035,1.2283,0.004852,0.004852,0.004852
54,32797.3,1.24685,1.01338,1.16038,0.77789,0.59575,0.671,0.43043,1.37624,1.05582,1.22628,0.004753,0.004753,0.004753
55,33412.5,1.24665,1.00485,1.15949,0.76965,0.60287,0.67698,0.43255,1.36949,1.06279,1.22975,0.004654,0.004654,0.004654
56,34029.7,1.23455,0.99209,1.15476,0.73958,0.6064,0.67358,0.42815,1.3734,1.05424,1.23253,0.004555,0.004555,0.004555
57,34644.4,1.22859,0.99048,1.14977,0.77059,0.59919,0.67291,0.4277,1.37839,1.04435,1.23467,0.004456,0.004456,0.004456
