epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,790.549,1.59013,2.19156,1.40158,0.69296,0.50634,0.58126,0.36308,1.39333,1.36445,1.26116,0.00333107,0.00333107,0.0700204
2,1573.26,1.53556,1.79574,1.36591,0.58261,0.46971,0.50925,0.30508,1.51743,1.48887,1.33036,0.00653245,0.00653245,0.0398884
3,2332.45,1.6496,1.99316,1.4256,0.47958,0.38779,0.37412,0.21281,1.68414,1.87273,1.43411,0.00960182,0.00960182,0.00962448
4,3088.19,1.76706,2.17658,1.50527,0.40424,0.39394,0.3558,0.19669,1.71833,2.02238,1.48665,0.009406,0.009406,0.009406
5,3843.94,1.76728,2.15564,1.51187,0.47403,0.40267,0.38896,0.21414,1.68573,1.84441,1.44484,0.009208,0.009208,0.009208
6,4597.12,1.73949,2.08639,1.49804,0.54461,0.38668,0.41759,0.23956,1.62757,1.78592,1.42505,0.00901,0.00901,0.00901
7,5349.84,1.69648,1.9931,1.47104,0.5666,0.44317,0.46471,0.26712,1.62566,1.6703,1.42425,0.008812,0.008812,0.008812
8,6106.74,1.66935,1.95918,1.45483,0.54384,0.46008,0.46704,0.26933,1.5716,1.6427,1.38944,0.008614,0.008614,0.008614
9,6862.33,1.65487,1.89213,1.44185,0.54325,0.44064,0.45933,0.26439,1.56856,1.62948,1.38265,0.008416,0.008416,0.008416
10,7618.62,1.62214,1.84291,1.42007,0.5799,0.46782,0.49815,0.29572,1.54847,1.542,1.36483,0.008218,0.008218,0.008218
11,8374.95,1.6034,1.80054,1.41563,0.60807,0.46541,0.50971,0.30046,1.54708,1.50353,1.37392,0.00802,0.00802,0.00802
12,9130.86,1.59932,1.76064,1.40648,0.61325,0.4727,0.51451,0.3002,1.52639,1.50254,1.3464,0.007822,0.007822,0.007822
13,9886.78,1.56801,1.7287,1.38833,0.60534,0.49871,0.53378,0.31628,1.52736,1.45631,1.34081,0.007624,0.007624,0.007624
14,10642.8,1.56289,1.69631,1.38855,0.62002,0.50109,0.53108,0.31314,1.52024,1.4618,1.34979,0.007426,0.007426,0.007426
15,11399.2,1.55181,1.66102,1.3724,0.65563,0.48091,0.53396,0.32496,1.50184,1.45001,1.33514,0.007228,0.007228,0.007228
16,12154.9,1.5219,1.61587,1.3622,0.63661,0.51412,0.55192,0.33311,1.47145,1.40723,1.30509,0.00703,0.00703,0.00703
17,12911,1.51611,1.58399,1.35461,0.66594,0.51295,0.57109,0.34135,1.48064,1.34294,1.3218,0.006832,0.006832,0.006832
18,13666.9,1.5036,1.55354,1.34849,0.66475,0.5315,0.59009,0.35419,1.46295,1.32017,1.32369,0.006634,0.006634,0.006634
19,14423.1,1.49723,1.53146,1.33905,0.67353,0.51167,0.57704,0.3568,1.45157,1.33189,1.31184,0.006436,0.006436,0.006436
20,15179.5,1.47547,1.51995,1.32754,0.69008,0.53434,0.58955,0.35805,1.4394,1.29998,1.29574,0.006238,0.006238,0.006238
21,15935.8,1.47498,1.50786,1.32889,0.66687,0.54133,0.59658,0.36299,1.43249,1.27566,1.29329,0.00604,0.00604,0.00604
22,16691.8,1.45413,1.46465,1.31128,0.7227,0.53586,0.60672,0.37111,1.43091,1.25808,1.27805,0.005842,0.005842,0.005842
23,17447.8,1.44758,1.43526,1.31029,0.69861,0.55117,0.60631,0.36958,1.42976,1.26216,1.2896,0.005644,0.005644,0.005644
24,18204.1,1.44128,1.41748,1.29801,0.70753,0.55232,0.61543,0.38113,1.41179,1.22774,1.27183,0.005446,0.005446,0.005446
